# ADD TO THE TOP OF THE FILE PLEASE!!!
#
#   If you have a source update, list the package name as we've done before.
#   If you have a binary update, prepend "bin/" to your package name.  
#   If you have a .gar update, append ".gar". to your package name.
#
# YYYY-MM-DD;Package_Name-Version.Version;Toolkit Version;Type (bug sec enh);Description
2013-05-15;globus_proxy_utils-5.1.tar.gz;5.2.4;enh;GT-272: Increase default proxy key size
2013-05-15;globus_proxy_utils-3.12.tar.gz;5.0.5;enh;GT-272: Increase default proxy key size
2013-04-03;globus_ftp_control-4.6.tar.gz;5.2.4;bug;GT-366: GridFTP clients do not delegate by default
2013-04-02;gsi_openssh-5.6-src.tar.gz;5.2.4;bug;<a href="http://grid.ncsa.illinois.edu/ssh/pamuserchange-2013-01.adv">pamuserchange-2013-01.adv</a>
2013-02-19;globus_gram_job_manager_sge-1.6.tar.gz;5.2.4;bug;GT-359: SGE SEG hangs when log_path points to directory
2013-02-19;globus_simple_ca-3.3.tar.gz;5.2.4;bug;GT-362: simple ca loses spaces in dn in signing policy
2012-07-26;globus_gsi_callback-4.4.tar.gz;5.2.2;bug sec;GT-235: GSI does not reload CRLs if they are replaced
2012-07-26;myproxy-5.9.tar.gz;5.2.2;bug;myproxy-get-delegation: corrupted double-linked list in get_vomses() (bug 7261)
2012-05-25;globus_gatekeeper-9.13.tar.gz;5.2.1;enh;GT-205: gatekeeper should log a message when it exits due to the presence of /etc/nologin
2012-05-25;globus_gram_client_tools-10.4.tar.gz;5.2.1;bug;GT-198: globusrun crashes when authentication fails for status check
2012-05-25;globus_gram_job_manager-13.42.tar.gz;5.2.1;bug;GT-192: Segfault in globus-gram-streamer</br>GT-199: GRAM audit checks result username incorrectly<br/>GT-209: job manager crash in query<br/>
2012-05-25;globus_simple_ca-3.1.tar.gz;5.2.1;enh;GT-151: port to SuSE 11
2012-05-24;globus_gatekeeper-5.9.tar.gz;5.0.5;enh;GT-205: gatekeeper should log a message when it exits due to the presence of /etc/nologin
2012-05-18;globus_gssapi_gsi-10.7.tar.gz;5.2.1;bug;GT-149 Memory leaks in globus-job-manager<br/> RIC-265: (GT-161): Memory leak in gss_accept_delegation()
2012-05-18;globus_gsi_sysconfig-5.3.tar.gz;5.2.1;bug;GT-149 Memory leaks in globus-job-manager<br/> GT-188: gsi sysconfig leaves internal results in the error cache
2012-05-18;globus_gridftp_server-6.11.tar.gz;5.2.1;sec;Fix for GT-195: GridFTP acts as wrong user when user doesn't exist.<br />See <a href="http://lists.globus.org/pipermail/security-announce/2012-May/000019.html">Security Advisory 2012-01</a>
2012-05-18;globus_gridftp_server-3.42.tar.gz,globus_gridftp_server_control-0.50.tar.gz;5.0.5;sec;Fix for GT-195: GridFTP acts as wrong user when user doesn't exist.<br />See <a href="http://lists.globus.org/pipermail/security-announce/2012-May/000019.html">Security Advisory 2012-01</a>.<br />Note that globus_gridftp_server_control-0.50 is only required when updating GT 5.0.4 or below.
2012-05-18;globus_gram_job_manager-13.40.tar.gz;5.2.1;bug;GRAM-288: Kill off perl processes when idle<br />  GT-149: Memory leaks in globus-job-manager<br/> GT-185: globus-personal-gatekeeper creates too-long paths on MacOS<br/> GT-186: GRAM job manager leaks condor log path<br/> GT-187: GRAM job manager leaks during stdio update<br/> GT-189: GRAM job manager regular expression storage grows<br/> GT-190: GRAM job manager leaks callback contact<br/> GT-65: GRAM records datagram socket failure, but doesn't record socket name<br />GT-155: Job manager deletes job dir sometimes
2012-05-18;globus_gatekeeper-9.12.tar.gz;5.2.1;enh;GT-159: globus-gatekeeper init script should report errors better
2011-04-12;globus_xio-2.10;5.0.4;bug;Fix for GridFTP over quota errors not reporting until file is closed.<br/>RIC-241
2011-03-11;globus_gridftp_server-3.30;5.0.3;bug;Fix for DCSC command in striped server configuration.  Fix for partial transfers or restarts while in stream mode, when the restart/start offset is greater than 2GB.
2011-01-17;myproxy-5.3;5.0.2;sec;Fix myproxy-logon identity checking of myproxy-server. See <a href="http://lists.globus.org/pipermail/security-announce/2011-January/000018.html">Globus Security Advisory 2011-01</a> for more information.
2010-03-15;globus_gssapi_gsi-5.18,globus_openssl_module-0.8;4.2.1;bug;Fix for OpenSSL 0.9.8m compatibility (bug 6984)
2010-01-04;globus_gsi_proxy_core-3.7;4.2.1;bug;Fix for globus_gsi_proxy_create_req() segfault (bug 6910)
2009-07-07;globus_gridftp_server-3.17;4.2.1;sec; Fix for threaded builds of globus-gridftp-server allowing incorrect supplemental group permissions.  See <a href="http://lists.globus.org/pipermail/security-announce/2009-July/000010.html">sec advisory 2009-01</a> for more information.
2009-07-07;globus_gridftp_server-2.10;4.0.8;sec; Fix for threaded builds of globus-gridftp-server allowing incorrect supplemental group permissions.  See <a href="http://lists.globus.org/pipermail/security-announce/2009-July/000010.html">sec advisory 2009-01</a> for more information.
2009-06-09;globus_gass_cache-5.4;4.0.8;bug;Fix GASS cache leaving files on NFS (bug 6720)
2009-06-09;globus_gass_cache-5.4;4.2.1;bug;Fix GASS cache leaving files on NFS (bug 6720)
2008-12-16;globus_gsi_callback-0.38,globus_gsi_credential-1.14,globus_gssapi_gsi-4.16;4.0.8;sec enh;Support for certificate chains longer than 9 (bug 4994)
2008-12-01;globus_gsi_cert_utils-5.5;4.2.1;sec enh;Add support for pkcs12 in grid-change-passphrase (bug 6547). Set umask before creating temporary file (bug 6559)
2008-12-01;globus_gsi_cert_utils-2.13;4.0.8;sec;Set umask before creating temporary file (bug 6559)
2008-11-13;globus_authz_gaa_callout-0.3,globus_gaa_authz_callout_setup-0.2;4.0.8;bug;Adds a gridmap callout for CAS, fixes incompatibility with post-gt4.0.7 cas server (bug 4895 and bug 6388).
2008-11-13;globus_authz_gaa_callout-0.4,globus_gaa_authz_callout_setup-0.2;4.2.1;bug;Adds a gridmap callout for CAS, fixes incompatibility with post-gt4.0.7 cas server (bug 4895 and bug 6388).
2008-11-07;globus_java_ws_core_common-1.15,globus_java_ws_core-3.18;4.2.1;bug;Fixes core deployment in Tomcat(bug 6531). Setup environment variable GLOBUS_VERSION to 4.2.1 before installing any package. (export GLOBUS_VERSION=4.2.1). Run "gpt-uninstall -force globus_java_ws_core_common" before the gpt-build -update commands and update the packages in the order listed.
#2008-11-07;bin/globus_wsrf_common-1.15.gar,bin/globus_wsrf_core-3.18.gar;4.2.1;bug;Fixes core deployment in Tomcat(bug 6531). Binary for updating Java WS Core only installs. 
2008-08-20;globus_wsrf_gram_utils_java-2.9,globus_wsrf_gram_service_java-2.18;4.2.0;bug;Fixes audit logging problem with PostgreSQL as DBMS (bug 6320)
2008-08-20;globus_simple_ca_setup-1.0;4.2.0;sec;Change default hash to sha1 (bug 6263)
2008-08-20;globus_simple_ca_setup-0.30;4.0.8;sec;Change default hash to sha1 (bug 6263)
2008-08-18;globus_gssapi_gsi-5.4;4.2.0;bug;Fixes a problem with gss_export_sec_context and gss_import_sec_context (bug 6313) which can cause GRAM2 job submissions to fail with error 10 (data transfer to the server failed).
2008-08-11;globus_java_ws_core_common-0.31;4.0.8;bug;Fixes setup of endorsed directory (bug 6296) and (bug 6099)
2008-07-23;globus_gsi_callback-1.6;4.2.0;bug;Fixes CA signing policy errors (bug 6252)
2008-07-23;globus_gsi_callback-0.33;4.0.7;bug;Fixes CA signing policy errors (bug 6252)
2008-07-18;globus_gatekeeper-4.0;4.2.0;bug;Fixes gatekeeper crash (bug 6240)
2008-07-18;globus_gatekeeper-3.2;4.0.7;bug;Fixes gatekeeper crash (bug 6240)
2008-06-16;globus_rls_server-4.7;4.0.7;bug;Fixes vulnerability to corrupt method or arguments sent from clients (bug 6104).
2008-05-20;globus_wsrf_rft_service_java-0.39;4.0.7;bug;Fixes a possible deadlock bug by using a second threadpool for request handling (and not sharing threads with transfer handling).  Also includes a patch to fix hash collisions.
2008-05-20;globus_java_ws_core-1.26;4.0.7;bug;Fixes enforcement of limited proxy policy set in service security descriptor when trasport security is used. Related to bug 6055. This issue exisits for all GT point releases including GT 4.0.7.
2008-05-13;globus_gridftp_server_control-0.21;4.0.7;bug;Fixes possible memory corruption or segfaults when listing files with long user or group names (bug 6066).
2008-05-05;globus_java_ws_core-1.25;4.0.7;bug;Fixes bug 6054. 
2008-05-05;bin/globus_wsrf_core-1.25.gar;4.0.7;bug;Fixes bug 6054. Binary for updating Java WS Core only installs.
2008-05-05;globus_java_ws_core_common-0.28,globus_java_ws_core-1.25;4.0.6;bug;Fixes bug 6054. This issues applies to 4.0.4 and 4.0.5 also.
2008-05-05;bin/globus_wsrf_core-1.25.gar,bin/globus_wsrf_common-0.28.gar;4.0.6;bug;Fixes bug 6054. This issues applies to 4.0.4 and 4.0.5 also. Binary for updating Java WS Core only installs.
2008-04-16;globus_c_ws_messaging-2.12;4.0.7;bug;Fixes bug parsing SOAP replies which do not contain a soapenv:Header element (bug 5486)
2008-04-16;globus_java_ws_core_common-0.28;4.0.7;bug;Fixes bug with parsing signing policy files with tab characters.
2008-04-08;globus_java_ws_core-1.24;4.0.7;bug;Fixes bug in container security descriptor initialization it ensure message context is set up correctly. Affects installations configuring container level custom authorization. (bug 5976)
2008-04-08;globus_java_ws_core_common-0.27,globus_java_ws_core-1.24;4.0.6;bug;Fixes bug in container security descriptor initialization it ensure message context is set up correctly. Affects installations configuring container level custom authorization. The packages need to be updated in the order listed.(bug 5976)
2008-04-03;gsi_openssh_bundle-4.3-src;4.0.7;security;<a href="http://lists.globus.org/pipermail/security-announce/2008-April/000008.html">Globus Security Advisory 2008-01</a>
2008-04-02;globus_xio-0.38;4.0.7;bug;Fixes a crash when sending UDP packets on a host that defaults to IPv6 name resolution. Replaces a previous fix for bug 5503.
2008-03-25;globus_common-7.30;4.0.6;bug;Fixes a signal handling bug on some platforms which resulted in high cpu use while sleeping (bug 5938) and a race condition which could result in corrupted memory on deactivation of globus_common with threaded builds (bug 5004).
2008-03-17;globus_wsrf_rft_service_java-0.37;4.0.6;bug;Fixes bug 5910 (possible corruption on cached data connections) and bug 5919 (UserDN based authorization).  This update is recommended for all users of 4.0.6.
2008-01-22;globus_libxml2-0.14;4.0.6;bug;libxml hang parsing some invalid documents (bug 5787)
2007-12-13;globus_proxy_utils-0.18;4.0.5;enh;grid-proxy-init -pwstdin with pkcs12 files (bug 4928)
2007-12-13;globus_gsi_cert_utils-2.11;4.0.5;enh;grid-cert-info with pkcs12 files (bug 4696)
2007-12-10;globus_gridftp_server_control-0.20;4.0.5;bug;Fix for truncated control channel messages with some long multiline replies (bug 5590)
2007-12-06;globus_gss_assist-3.25,globus_gridmap_and_execute-0.0;4.0.5;bug;Fixes failure of job submissions when the userid the job is run as is only listed as a secondary entry in the gridmap file (bug 5457).  First update globus_gss_assist-3.25, then update globus_gridmap_and_execute-0.0 adding the '-static' flag to the gpt-build options.
2007-11-09;globus_rls_server-4.4;4.0.5;bug;Support for automatic reconnect to database backend (bug 5107).
2007-07-17;globus_wsrf_mds_nagios-0.2;4.0.5;bug;The globus_wsrf_mds_nagios package was omitted from the 4.0.5 installer
2007-05-17;globus_gssapi_gsi-4.11;4.0.4;bug;The GSSAPI hangs when called from an module activation thread on threaded build flavors (bug 5279)
2007-05-17;globus_gram_job_manager-6.11;4.0.4;enh;Add job manager configuration option to control use of nexus (bug 5297)
2007-05-17;globus_nexus-6.7;4.0.4;bug sec;Fix remote DoS on nexus-enabled applications, such as MPICH-G2 jobs or the GRAM Job Manager. For more information, see the <a href="http://lists.globus.org/pipermail/security-announce/2007-May/000007.html">advisory</a>.
2007-04-09;gsi_openssh_bundle-3.9-src;4.0.3;security;OpenSSH versions prior to 4.4 contain a signal handler race condition and protocol handler error which can be exploited to perform a remote denial of service and could theoretically lead to remote code execution.  For more information, see the <a href="http://lists.globus.org/pipermail/security-announce/2007-April/000006.html">advisory</a>.
2007-02-09;globus_gss_assist-3.23;4.0.3;security;Escaped double quotes in gridmap entry not handled correctly (bug 4979). Thanks to David Groep (NIKHEF, Amsterdam) for reporting this and for providing the patch.
